,product_name,price,receipt_id
46,KARTOFFELBROT,1.01,Rewe_4.jpg
47,Rabatt 30 %,-0.3,Rewe_4.jpg
48,KUERBISKERNBROT,1.07,Rewe_4.jpg
49,Rabatt 30 %,-0.32,Rewe_4.jpg
50,WELTMEISTERBROT,1.07,Rewe_4.jpg
51,Rabatt 30 %,-0.32,Rewe_4.jpg
52,CIABATTA PICCOLA,2.99,Rewe_4.jpg
53,Rabatt 30 %,-0.9,Rewe_4.jpg
54,VEGANE TEEWURST,1.99,Rewe_4.jpg
55,Rabatt 30 %,-0.6,Rewe_4.jpg
56,GENUSS SCHEIBEN,3.87,Rewe_4.jpg
57,GRANATAPEL,1.49,Rewe_4.jpg
58,SALATGURKE,1.09,Rewe_4.jpg
59,MARGARINE,3.87,Rewe_4.jpg
60,JA ! WEIZENMEHL,0.65,Rewe_4.jpg
61,DINKELMEHL,1.49,Rewe_4.jpg
62,SPEISESTAERKE,1.29,Rewe_4.jpg
63,BROT CLASSIC GF,6.38,Rewe_4.jpg
64,PILSENER JEVER,11.99,Rewe_4.jpg
65,"PFAND 3,10 EUR",3.1,Rewe_4.jpg
66,PUEBLO BLUE,5.95,Rewe_4.jpg
67,LEERG . MW V. ST,-1.5,Rewe_4.jpg
68,LEERG . MW V. ST,-1.6,Rewe_4.jpg
69,LEERG . MW V. ST,-1.5,Rewe_4.jpg
70,LEERG . MW V. ST,-1.6,Rewe_4.jpg
71,LEERG . MW V. ST,-1.6,Rewe_4.jpg
72,LEERG . MW V. ST,-1.5,Rewe_4.jpg
73,RBW APFELESSIG,5.16,Rewe_5.jpg
74,VEGANE SALAMI,4.77,Rewe_6.jpg
75,Rabatt 30 %,-1.44,Rewe_6.jpg
76,VEG POMMERSCHE,1.49,Rewe_6.jpg
77,Rabatt 30 %,-0.45,Rewe_6.jpg
78,BIO DINKEL WRAPS,1.99,Rewe_6.jpg
79,GENUSS SCHEIBEN,2.58,Rewe_6.jpg
80,VEG . SPICKER,1.59,Rewe_6.jpg
81,VEG . SP . SCHNITTL,1.59,Rewe_6.jpg
82,GRANATAPEL,1.89,Rewe_6.jpg
83,BRATPAPRIKA,1.59,Rewe_6.jpg
84,CHIANTI DOCG,2.99,Rewe_6.jpg
85,WERNESGR . PILS,0.95,Rewe_6.jpg
86,"PFAND 0 , 08 EUR",0.08,Rewe_6.jpg
87,MUENCHNER HELL,0.99,Rewe_6.jpg
88,"PFAND 0 , 08 EUR",0.08,Rewe_6.jpg
89,FANTA LEMON,1.19,Rewe_6.jpg
90,"PFAND 0 , 25 EURO",0.25,Rewe_6.jpg
91,VKORN SONNENBATZ,2.19,Rewe_7.jpg
92,GENUSS SCHEIBEN,2.58,Rewe_7.jpg
93,POMELO HONEY,4.58,Rewe_7.jpg
94,BIO MARGARINE,3.58,Rewe_7.jpg
95,DINKEL - CRUNCHY,2.59,Rewe_7.jpg
96,AUFSTRICH PAP . ZU,4.05,Rewe_7.jpg
97,C. MARINA 14,7.49,Rewe_8.jpg
98,OBLATEN,1.99,Rewe_8.jpg
99,SKYR STYLE VAN .,1.99,Rewe_9.jpg
100,SAHNEPUD . SCHOKO,2.49,Rewe_9.jpg
101,COCA COLA PET,1.39,Rewe_9.jpg
102,"PFAND 0 , 15 EUR",0.15,Rewe_9.jpg
103,SODA CO2 FUELL B.,31.96,Rewe_9.jpg
104,SOJAGURT NATUR,2.78,Rewe_10.jpg
105,CREME VEGA,1.29,Rewe_10.jpg
106,BITBURGER PILS,10.49,Rewe_10.jpg
107,"PFAND 3,10 EUR",3.1,Rewe_10.jpg
108,TOFU NATUR,6.57,Rewe_11.jpg
109,GENUSS SCHEIBEN,1.29,Rewe_11.jpg
110,RISPENTOMATE,2.26,Rewe_12.jpg
111,GEHACKTES 2.0,2.49,Rewe_12.jpg
112,Rabatt 30 %,-0.75,Rewe_12.jpg
113,BIO FETA 45 %,2.79,Rewe_12.jpg
114,FETA PDO LAKT - FR,2.19,Rewe_12.jpg
115,FLADENBROT,1.89,Rewe_12.jpg
116,KRAUTSALAT,2.19,Rewe_12.jpg
117,KNOBLAUCHOLIVEN,2.99,Rewe_12.jpg
118,GRIE. PFEFFERON.,2.18,Rewe_12.jpg
119,CURLY WURLY,1.77,Rewe_12.jpg
120,PUEBLO BLUE,5.95,Rewe_12.jpg
121,ANZUENDWUERFEL,3.78,Rewe_13.jpg
122,RAEUCHERTOFU,2.19,Rewe_14.jpg
123,TOFU NATUR,2.19,Rewe_14.jpg
124,KOHLRABI,0.79,Rewe_14.jpg
125,CHAMP . WEISS,1.99,Rewe_14.jpg
126,KORIANDER,1.98,Rewe_14.jpg
127,THI . REISNUDELN,4.98,Rewe_14.jpg
128,REISPAPIER,3.19,Rewe_14.jpg
129,URKROSTITZ PILS,14.49,Rewe_14.jpg
130,"PFAND 3 , 10 EUR",3.1,Rewe_14.jpg
131,KRUSTENBROT,1.49,Rewe_15.jpg
132,CHAMP . WEISS,1.99,Rewe_15.jpg
133,KRAEUTER,1.69,Rewe_15.jpg
134,RISOTTOREIS,4.58,Rewe_15.jpg
135,ZIMTSTERNE,4.49,Rewe_15.jpg
136,DOPPELKEKS GF,2.99,Rewe_15.jpg
137,LAYS SALT & VINEG .,1.99,Rewe_15.jpg
138,WERNESGR ALKFR,11.4,Rewe_15.jpg
139,"PFAND 0,08 EUR",0.96,Rewe_15.jpg
140,MUELLSACK 60L,3.99,Rewe_15.jpg
141,KASTEN LEER,1.5,Rewe_15.jpg
142,TORTILLAS WEIZEN,1.29,Rewe_16.jpg
143,VEG . HACK,3.29,Rewe_16.jpg
144,VEG . GERIEBEN PIZ,2.49,Rewe_16.jpg
145,HAFERD . BARISTA,2.55,Rewe_16.jpg
146,MIXERY ICED BLUE,1.29,Rewe_16.jpg
147,"PFAND 0,08 EUR",0.08,Rewe_16.jpg
148,ORANGE SPRITZ,1.49,Rewe_16.jpg
149,"PFAND 0,25 EURO",0.25,Rewe_16.jpg
150,PAPIERTTE KLEIN,0.35,Rewe_16.jpg
151,FETTUCINE LACHS,1.99,Rewe_T5.jpg
152,DAEN.GURKENSALAT,1.89,Rewe_T5.jpg
153,KL.PAPIERTASCHE,0.1,Rewe_T5.jpg
154,WEIHNACHTSMANN,3.69,Rewe_T5.jpg
155,F.KUN MISCHUN,2.99,Rewe_T5.jpg
156,MKA 144G KUGELN,3.99,Rewe_T5.jpg
157,BAUMBEHANG MISCH,5.49,Rewe_T5.jpg
158,BENEFUL,4.79,Rewe_T7.jpg
159,KNABBEROHREN,6.49,Rewe_T7.jpg
160,SPITZKOHL,2.01,Rewe_T9.jpg
161,BANANE BIO,1.22,Rewe_T9.jpg
162,COMBIPLUS ZITRUS,14.5,Rewe_T9.jpg
163,Treuerabatt,-7.51,Rewe_T9.jpg
164,MAISHAEHNCHEN,8.03,Rewe_T9.jpg
165,DELI . BACON,2.58,Rewe_T9.jpg
166,JA RUTTERKAESE,3.49,Rewe_T9.jpg
167,GO JUNG,4.39,Rewe_T9.jpg
168,MOZZARELLA 45 %,3.96,Rewe_T9.jpg
169,RICOTTA,1.39,Rewe_T9.jpg
170,FRISCHK . KRAEUTE,1.59,Rewe_T9.jpg
171,EIWEISSBROT,2.29,Rewe_T9.jpg
172,EIWEISS TOASTBR .,2.49,Rewe_T9.jpg
173,HIGHPROTEINTOAST,2.59,Rewe_T9.jpg
174,LACHSFORELLE,5.98,Rewe_T9.jpg
175,LIMETTE,1.49,Rewe_T9.jpg
176,MANGO,0.77,Rewe_T9.jpg
177,AVOCADO FEINE W.,7.77,Rewe_T9.jpg
178,BLUMENKOHL WEISS,2.29,Rewe_T9.jpg
179,BABYSPINAT,2.69,Rewe_T9.jpg
180,SALAT ROMA HERZ,5.97,Rewe_T9.jpg
181,RUCOLA,1.29,Rewe_T9.jpg
182,KAROTTE M. GRUEN,2.58,Rewe_T9.jpg
183,BOHNE BUSCH,2.79,Rewe_T9.jpg
184,BASILIKUM,1.49,Rewe_T9.jpg
185,PETERSILIE KRAUS,1.59,Rewe_T9.jpg
186,EIER BH M-L,1.99,Rewe_T9.jpg
187,BUTTERMILCH,0.55,Rewe_T9.jpg
188,SKYR NATUR,1.98,Rewe_T9.jpg
189,SKYR NATUR,3.78,Rewe_T9.jpg
190,GARNELE NATUR,7.38,Rewe_T9.jpg
191,JA ! RAHMSPINAT,0.69,Rewe_T9.jpg
192,TOM KHA GAI,1.19,Rewe_T9.jpg
193,INST . NUD . TOM YUM,2.38,Rewe_T9.jpg
194,BALSAMICO CREME,2.29,Rewe_T9.jpg
195,KOKOSMILCH,2.58,Rewe_T9.jpg
196,THAI CURRY PASTE,2.99,Rewe_T9.jpg
197,ALTOBELLO BIANCO,9.99,Rewe_T9.jpg
198,SYRAH ROSE,8.99,Rewe_T9.jpg
199,SCHW . JOHANNISB,1.79,Rewe_T9.jpg
200,"PFAND 0,25 EURO",0.25,Rewe_T9.jpg
201,RB BIO LIMETTE,1.79,Rewe_T9.jpg
202,HENKELL ROSE,7.98,Rewe_T9.jpg
203,EARL GRAY TEE,0.89,Rewe_T9.jpg
204,GESCHIRRTABS,4.35,Rewe_T9.jpg
205,KRAFTREIN . FETTL .,2.49,Rewe_T9.jpg
206,BACK. -GRILLREIN.,3.49,Rewe_T9.jpg
207,"ZAHNP , PROF",4.99,Rewe_T9.jpg
208,KNEIPP,2.99,Rewe_T9.jpg
209,LIPGLOSS 102,2.29,Rewe_T9.jpg
210,CASHEWKERNE,2.19,Rewe_T12.jpg
211,AMAZONMULTI30,0.75,Rewe_T12.jpg
212,SONNTAGSBROETCH .,0.3,Rewe_T16.jpg
213,KUERBISKERNBR,0.58,Rewe_T16.jpg
214,LAUGENOTEN,0.39,Rewe_T16.jpg
215,LAUGEN - BUTTERCR .,0.89,Rewe_T16.jpg
216,SALAT ROMA HERZ,1.79,Rewe_T16.jpg
217,EXTRA PRO SPEAR .,2.25,Rewe_T16.jpg
218,LED ARBEITSL,2.99,Rewe_T16.jpg
219,MAXIMAL G ENERGY,2.07,Rewe_T17.jpg
220,PFAND,0.75,Rewe_T17.jpg
221,MAX . G LEMGRGING,2.76,Rewe_T17.jpg
222,PFAND,1.0,Rewe_T17.jpg
223,SEKT HALBTROCKEN,2.77,Rewe_T17.jpg
224,SEKT ROSE ROTKAE,2.77,Rewe_T17.jpg
225,TODAY ERSATZKLIN,4.95,Rewe_T17.jpg
226,IKEA40 V41,40.0,Rewe_T17.jpg
227,GOOGLEPLAY15,15.0,Rewe_T17.jpg
228,LEERG . MW V. ST,-0.15,Rewe_T17.jpg
229,SENF MITTELSCH .,0.49,Rewe_T18.jpg
230,TOMATENMARK,0.49,Rewe_T18.jpg
231,TOM.MARK KONZ .,1.49,Rewe_T18.jpg
232,GEHACKTE TOMATEN,1.17,Rewe_T18.jpg
233,SFB PH86 DP,9.99,Rewe_T18.jpg
234,TINTEN.DESCHER,2.99,Rewe_T18.jpg
235,SENSEO SWITCH,66.0,Rewe_T18.jpg
